dt,Hurricane_IDs,LandAverageTemperature,LandMinTemperature,LandMaxTemperature,LandAndOceanAverageTemperature,AvgTempUSA,AvgTempFlorida,AvgTempLouisiana,AvgTempNorthCarolina,AvgTempSouthCarolina,AvgTempTexas,ACE
186308,['AL011863' 'AL021863' 'AL031863' 'AL041863'],13.294,7.8329999999999975,18.408,16.437,19.922,26.63000000000001,27.037,24.493,25.656,27.638,32.4
186309,['AL051863' 'AL061863' 'AL071863' 'AL081863' 'AL091863'],11.23,5.439,15.910000000000002,15.898,15.775,25.09,24.592,19.692,21.929000000000002,25.203000000000007,17.1
186310,['AL091863'],8.235,3.282,13.944,14.978,7.4129999999999985,21.714000000000002,16.714000000000002,13.866,16.245,16.791,3.6
186407,['AL011864' 'AL021864'],14.162,7.4129999999999985,18.831,16.715,21.837,27.149,27.66,25.515,27.118000000000002,28.207,8.5
186408,['AL031864'],13.434,7.5459999999999985,18.909,16.494,20.748,26.521,26.788,24.968000000000004,26.232,27.784,4.9
186409,['AL031864' 'AL041864'],11.37,5.721,17.063000000000002,15.85,16.122,25.936999999999998,25.646,20.206,22.486,25.672,7.4
186410,['AL051864'],8.795,3.2460000000000004,15.047,14.972000000000001,7.545,21.563000000000002,17.136000000000006,14.037,16.486,16.331,4.9
186505,['AL011865'],10.917,4.8740000000000006,16.968,15.755999999999998,14.495,23.85,22.862,18.676,20.924,23.083,2.5
186506,['AL021865'],13.214,7.508999999999999,19.022,16.414,19.625,26.711,26.799,24.068,25.478,27.064,2.5
186508,['AL031865'],13.58,7.594999999999999,19.111,16.657,20.363,27.66500000000001,27.766,23.613000000000003,25.429,27.872,3.6
186509,['AL041865' 'AL051865' 'AL061865'],11.797,5.789,17.840999999999994,16.082,17.28,26.768,26.154,23.235,24.845,25.485,16.6
186510,['AL071865'],9.136,3.345,15.281,15.157,8.857000000000003,22.123,18.935,14.355,16.683,17.869,8.1
186607,['AL011866'],14.602,8.183,20.369,17.06,21.679,27.564,27.773000000000003,25.919,27.324,28.055,8.1
186608,['AL021866'],13.532,7.087999999999999,18.947,16.695,19.507,27.431,27.269000000000002,22.951999999999998,25.337,27.709,8.1
186609,['AL031866' 'AL041866' 'AL051866' 'AL061866'],11.527,5.807,17.508000000000006,15.918,14.729,26.371,24.315,21.297,23.419,23.488000000000003,32.3
186610,['AL061866' 'AL071866'],8.506,2.9939999999999998,14.624,15.062000000000001,9.139,21.75500000000001,18.805,15.186,17.131,18.701,18.0
186706,['AL011867'],13.302999999999999,8.032,19.753,16.366,19.347,26.013,26.351,22.398000000000003,24.336,27.146,4.9
186707,['AL021867'],14.223,8.387,20.032,16.672,21.011,27.117,26.885,24.496,26.515,27.967,8.1
186708,['AL021867' 'AL031867' 'AL041867'],13.505999999999998,7.705999999999999,19.625999999999998,16.454,20.424,26.742,27.057,23.67,25.406,27.991999999999997,21.1
186709,['AL041867' 'AL051867' 'AL061867'],11.763,5.9110000000000005,17.566000000000006,16.147000000000002,16.492,26.622,26.094,21.695,23.765,25.968000000000004,15.5
186710,['AL061867' 'AL071867' 'AL081867' 'AL091867'],9.212,3.705,15.374,15.318,9.517,22.021,19.069000000000006,14.623,16.907,19.537,29.9
186809,['AL011868'],11.669,5.726,17.988000000000003,16.107,14.564,26.587,23.984,21.226,23.637,23.668000000000006,8.1
186810,['AL021868' 'AL031868' 'AL041868'],9.448,3.0860000000000003,14.925,15.376,8.801,22.411,18.881,14.16,16.834,18.376,21.1
186908,['AL011869' 'AL021869' 'AL031869'],14.01,7.947999999999999,19.663,16.711000000000002,20.645,27.715,27.588,25.076,26.745,27.976,21.1
186909,['AL041869' 'AL051869' 'AL061869' 'AL071869' 'AL081869'],12.247,5.377000000000002,17.561,16.18,15.604,25.951,23.305,20.476,22.589000000000002,23.605,30.2
186910,['AL091869' 'AL101869'],9.006,1.968,14.062999999999999,15.171,7.075,21.115,15.618000000000002,12.613,15.651000000000002,15.637,10.6
187007,['AL011870'],14.599,8.850999999999997,20.29,16.86,22.188,28.275,27.31900000000001,26.286,28.001,28.009,4.9
187008,['AL021870'],13.484000000000002,7.9739999999999975,19.317999999999998,16.617,19.771,27.977,26.604,24.913,26.511,26.54,8.1
187009,['AL021870' 'AL031870' 'AL041870' 'AL051870'],11.952,5.456,17.017000000000003,16.073,16.215,26.426,24.762,21.392,23.193,24.482,30.2
187010,['AL061870' 'AL071870' 'AL081870' 'AL091870' 'AL101870' 'AL111870'],8.809999999999997,2.8480000000000003,14.187999999999999,15.056,9.304,23.201,19.474,15.864,18.311,18.605,40.9
187011,['AL111870'],5.6,0.629,12.574000000000002,14.079,3.3200000000000003,18.345,13.983,9.457,12.08,13.515,4.9
187106,['AL011871' 'AL021871'],13.08,7.4700000000000015,19.127,16.458000000000002,19.791,26.593000000000004,26.559,24.234,26.245,27.27,5.0
187108,['AL031871' 'AL041871' 'AL051871'],13.932,7.898,19.812,16.653000000000002,20.67,26.928,28.104,25.038,26.279,28.897,28.1
187109,['AL051871' 'AL061871' 'AL071871'],11.710999999999999,5.037,17.394000000000002,16.02,15.505999999999998,24.98,23.432,18.974,21.068,23.94,17.9
187110,['AL071871' 'AL081871'],9.096,2.891,14.697,15.061,9.436,23.329,19.457,15.999,18.234,18.296,9.8
187207,['AL011872'],14.285,7.883999999999999,19.705,16.843,21.065,27.912,28.018,26.002,27.667,27.705,2.5
187208,['AL021872'],13.821,7.450999999999999,19.415,16.822,20.442,27.494,28.334,24.912,26.416999999999998,27.608,8.1
187209,['AL021872' 'AL031872' 'AL041872'],11.957999999999998,5.938,17.718,16.173000000000002,15.574000000000002,26.215999999999998,25.904,21.159,23.102,24.702,17.9
187210,['AL041872' 'AL051872'],9.24,3.025,15.715,15.181,8.901,21.477,18.938,13.739,15.777000000000001,18.053,9.8
187306,['AL011873'],13.405,6.783,19.006,16.429000000000002,19.304,26.281,26.37,23.16,24.916,25.779,1.6
187308,['AL021873'],13.755,7.446999999999999,19.241,16.726,20.443,27.09,26.951,24.083,25.69,27.053,10.0
187309,['AL031873' 'AL041873' 'AL051873'],11.486999999999998,5.297999999999999,16.979000000000006,15.965,15.390999999999998,25.629,24.307,21.227,22.837000000000003,23.794,17.4
187310,['AL051873'],9.234,2.386,14.431,15.13,7.741,20.566000000000006,17.535999999999998,13.166,15.187000000000001,17.555999999999994,10.0
